Reynold,Mach,Alpha,cl,cd,cdp,cm
272631.0,0.1,15.5,1.3655,0.05911,0.05264999999999999,-0.0053
272631.0,0.1,15.8,1.3651,0.06268,0.05638,-0.0055
272631.0,0.1,16.099999999999998,1.3652999999999997,0.06623999999999998,0.06005,-0.005900000000000001
272631.0,0.1,16.400000000000002,1.3649000000000002,0.06996000000000001,0.06385,-0.006400000000000001
272631.0,0.1,16.7,1.3623,0.07413000000000002,0.0682,-0.007100000000000001
272631.0,0.1,17.0,1.3642,0.07755,0.07157999999999999,-0.007699999999999999
272631.0,0.1,17.3,1.3558000000000001,0.08293,0.07725,-0.0094
272631.0,0.1,17.599999999999998,1.3544,0.08715,0.08152166666666666,-0.0107
272631.0,0.1,17.900000000000002,1.3500999999999999,0.09191000000000002,0.08643,-0.012300000000000002
272631.0,0.1,18.2,1.3436000000000001,0.09716000000000001,0.0918525,-0.014300000000000004
272631.0,0.1,18.5,1.3449,0.10101750000000001,0.0956675,-0.015699999999999995
272631.0,0.1,18.8,1.3331,0.10743000000000001,0.10237,-0.018699999999999998
272631.0,0.1,19.099999999999998,1.3290833333333334,0.11248000000000001,0.10753999999999998,-0.021
272631.0,0.1,19.400000000000002,1.3318,0.11611,0.11114,-0.022499999999999996
272631.0,0.1,19.7,1.3178,0.12322999999999999,0.11855,-0.026400000000000003
535263.0,0.1,-10.0,-0.6896,0.02808,0.02406,-0.0833
535263.0,0.1,-9.7,-0.5609999999999999,0.051519999999999996,0.048215,-0.06555
535263.0,0.1,-9.4,-0.53365,0.046400000000000004,0.042984999999999995,-0.06695
535263.0,0.1,-8.8,-0.5613,0.01991,0.01467,-0.0882
535263.0,0.1,-8.5,-0.5227,0.01858,0.01315,-0.0898
535263.0,0.1,-7.9,-0.4467,0.01646,0.01073,-0.0923
535263.0,0.1,-7.6,-0.4056,0.01567,0.00992,-0.0941
535263.0,0.1,-7.3,-0.3719,0.01481,0.00895,-0.0942
535263.0,0.1,-7.0,-0.3349,0.01415,0.00824,-0.095
535263.0,0.1,-6.7,-0.2991,0.01342,0.00747,-0.09549999999999999
535263.0,0.1,-6.400000000000001,-0.2655,0.01291,0.006849999999999999,-0.0954
535263.0,0.1,-5.5,-0.1675,0.01146,0.00533,-0.0945
535263.0,0.1,-5.2,-0.1353,0.011089999999999997,0.00491,-0.0941
535263.0,0.1,-4.9,-0.1034,0.01075,0.00454,-0.0936
535263.0,0.1,-4.6,-0.0718,0.01044,0.0042,-0.093
535263.0,0.1,-4.3,-0.0401,0.01017,0.0039,-0.0924
535263.0,0.1,-4.0,-0.0087,0.00991,0.00362,-0.0918
535263.0,0.1,-3.7,0.0227,0.00967,0.00336,-0.0912
535263.0,0.1,-3.4,0.0541,0.00945,0.00312,-0.0905
535263.0,0.1,-3.1,0.0855,0.00924,0.00289,-0.0898
535263.0,0.1,-2.8,0.1164,0.009,0.00267,-0.0891
535263.0,0.1,-2.5,0.1461,0.00875,0.00248,-0.0881
535263.0,0.1,-2.2,0.1758,0.00848,0.00232,-0.0872
535263.0,0.1,-1.8999999999999997,0.2053,0.00822,0.00221,-0.0863
535263.0,0.1,-1.6000000000000003,0.2351,0.008,0.00213,-0.08539999999999999
535263.0,0.1,-1.3,0.2646,0.00777,0.00206,-0.0845
535263.0,0.1,-1.0,0.2925,0.007459999999999999,0.00201,-0.0833
535263.0,0.1,-0.4,0.338,0.00653,0.00202,-0.0783
535263.0,0.1,0.19999999999999998,0.4501,0.006449999999999999,0.0022299999999999998,-0.08699999999999998
535263.0,0.1,0.5,0.5002,0.006629999999999999,0.00231,-0.09030000000000002
535263.0,0.1,0.7999999999999999,0.5587999999999999,0.006789999999999999,0.0023600000000000006,-0.09550000000000002
535263.0,0.1,1.0999999999999999,0.6151,0.00689,0.0023600000000000006,-0.10040000000000002
535263.0,0.1,1.4,0.6525,0.00697,0.00235,-0.10129999999999999
535263.0,0.1,1.7,0.6786,0.00707,0.00237,-0.0997
535263.0,0.1,2.0,0.7045000000000001,0.00718,0.0024,-0.09809999999999999
535263.0,0.1,2.3000000000000003,0.7302999999999998,0.00732,0.0024500000000000004,-0.09640000000000001
535263.0,0.1,2.6,0.7559,0.00747,0.00252,-0.0947
535263.0,0.1,2.9,0.7811,0.00765,0.0026200000000000004,-0.0929
535263.0,0.1,3.5,0.8306000000000002,0.008080000000000002,0.0028600000000000006,-0.08909999999999998
535263.0,0.1,3.8000000000000003,0.8545999999999998,0.00834,0.0030099999999999997,-0.08709999999999998
535263.0,0.1,4.1,0.8779,0.00863,0.0031899999999999997,-0.085
535263.0,0.1,4.3999999999999995,0.9006,0.008959999999999997,0.0033900000000000002,-0.0828
535263.0,0.1,4.7,0.9237,0.0093,0.0036,-0.0806
535263.0,0.1,5.0,0.9471,0.00962,0.0038400000000000005,-0.0786
535263.0,0.1,5.3,0.9707999999999999,0.00995,0.00408,-0.0766
535263.0,0.1,5.6000000000000005,0.9945,0.01027,0.00433,-0.0747
535263.0,0.1,5.8999999999999995,1.0183,0.0106,0.0046,-0.0727
535263.0,0.1,6.2,1.0423,0.010910000000000001,0.00486,-0.0709
535263.0,0.1,6.5,1.0663,0.01123,0.00515,-0.069
535263.0,0.1,6.799999999999999,1.0903,0.011550000000000001,0.00544,-0.0672
535263.0,0.1,7.1000000000000005,1.1147,0.01185,0.005740000000000001,-0.0654
535263.0,0.1,7.3999999999999995,1.1387,0.012160000000000002,0.00605,-0.0636
535263.0,0.1,7.700000000000001,1.1617999999999997,0.012499999999999999,0.0063799999999999985,-0.06169999999999999
535263.0,0.1,8.0,1.1841,0.012840000000000002,0.00671,-0.05959999999999999
535263.0,0.1,8.299999999999999,1.2042,0.013230000000000002,0.007059999999999999,-0.0571
535263.0,0.1,8.6,1.2234142857142858,0.01368,0.0074600000000000005,-0.0545
535263.0,0.1,8.9,1.238,0.01438,0.008,-0.0513
535263.0,0.1,9.2,1.2446,0.01557,0.00888,-0.047
535263.0,0.1,9.5,1.2542,0.016660000000000005,0.00982,-0.0434
535263.0,0.1,9.799999999999999,1.2672,0.017589999999999998,0.0107,-0.0404
535263.0,0.1,10.1,1.2813999999999999,0.01848,0.011590000000000001,-0.0376
535263.0,0.1,10.4,1.2963000000000002,0.01936,0.01249,-0.0351
535263.0,0.1,10.700000000000001,1.3101,0.02033,0.01349,-0.0326
535263.0,0.1,11.0,1.3232,0.02137,0.014550000000000002,-0.0301
535263.0,0.1,11.299999999999999,1.338,0.02233,0.015589999999999998,-0.028
535263.0,0.1,11.6,1.3478,0.02366,0.01693,-0.0255
535263.0,0.1,11.900000000000002,1.3637999999999997,0.02466,0.018020000000000005,-0.0238
535263.0,0.1,12.200000000000001,1.3735,0.02609,0.019490000000000004,-0.021600000000000005
535263.0,0.1,12.5,1.3866,0.02737,0.02086,-0.0199
535263.0,0.1,12.799999999999999,1.3965999999999998,0.028909999999999998,0.022439999999999998,-0.018199999999999997
535263.0,0.1,13.1,1.4063,0.03055,0.02418,-0.0166
535263.0,0.1,13.400000000000002,1.4167000000000003,0.03219,0.025880000000000007,-0.0152
535263.0,0.1,13.700000000000001,1.4237,0.03419,0.027959999999999992,-0.013800000000000003
535263.0,0.1,14.0,1.4322,0.03611,0.02997,-0.0126
535263.0,0.1,14.299999999999999,1.4365000000000003,0.03850833333333334,0.03243000000000001,-0.011499999999999998
535263.0,0.1,14.599999999999998,1.4453999999999998,0.04058,0.03461999999999999,-0.0107
535263.0,0.1,14.9,1.447,0.04345,0.03754,-0.01
535263.0,0.1,15.200000000000001,1.4543,0.04584,0.040049999999999995,-0.0096
535263.0,0.1,15.5,1.4510000000000003,0.04943,0.04370833333333333,-0.0092
535263.0,0.1,15.799999999999999,1.4551999999999998,0.05239,0.0468,-0.009099999999999999
535263.0,0.1,16.099999999999998,1.4511,0.05636,0.05083,-0.009300000000000001
535263.0,0.1,16.400000000000002,1.4532000000000003,0.05977,0.05437999999999999,-0.0096
535263.0,0.1,16.7,1.445,0.06452999999999999,0.05922,-0.0104
535263.0,0.1,17.0,1.4418,0.06878,0.06361,-0.0111
535263.0,0.1,17.3,1.4338,0.07384,0.06877,-0.012300000000000002
535263.0,0.1,17.599999999999998,1.4259000000000002,0.07898,0.07403,-0.013700000000000002
535263.0,0.1,17.900000000000002,1.4177,0.08428714285714285,0.07945,-0.015299999999999998
535263.0,0.1,18.2,1.4034999999999997,0.09052285714285714,0.08576285714285715,-0.0173
535263.0,0.1,18.5,1.3939000000000001,0.09625,0.09164,-0.0193
535263.0,0.1,18.8,1.3845,0.10196777777777778,0.09747,-0.021499999999999995
535263.0,0.1,19.099999999999998,1.3717000000000001,0.10831,0.10388249999999999,-0.024100000000000003
535263.0,0.1,19.400000000000002,1.3637,0.11393833333333335,0.10964,-0.0265
535263.0,0.1,19.7,1.3551,0.11978285714285715,0.11559285714285714,-0.0292
797894.0,0.1,-10.0,-0.6794,0.019,0.01431,-0.0903
797894.0,0.1,-9.7,-0.6424,0.01809,0.01333,-0.0916
797894.0,0.1,-9.4,-0.6032,0.01703,0.0121,-0.0933
797894.0,0.1,-9.1,-0.5693,0.01597,0.01093,-0.0939
797894.0,0.1,-8.5,-0.4951,0.01452,0.00928,-0.0958
797894.0,0.1,-8.2,-0.4585000000000001,0.01371,0.00845,-0.0967
797894.0,0.1,-7.9,-0.4252,0.01311,0.00777,-0.0967
797894.0,0.1,-7.6,-0.3922,0.01248,0.00708,-0.0967
797894.0,0.1,-7.3,-0.3581,0.01205,0.00657,-0.0967
797894.0,0.1,-7.0,-0.3263,0.01149,0.00597,-0.0964
797894.0,0.1,-6.7,-0.2937,0.01111,0.0055,-0.096
797894.0,0.1,-6.4,-0.2624,0.01071,0.00507,-0.0955
797894.0,0.1,-6.1,-0.2312,0.01034,0.00466,-0.0949
797894.0,0.1,-5.8,-0.1998,0.01002,0.00429,-0.0943
797894.0,0.1,-5.5,-0.1684,0.00975,0.00397,-0.0937
797894.0,0.1,-5.2,-0.1368,0.00952,0.0037,-0.0931
797894.0,0.1,-4.9,-0.1055,0.00929,0.00343,-0.0925
797894.0,0.1,-4.6,-0.0741,0.00907,0.00318,-0.0918
797894.0,0.1,-4.3,-0.0428,0.00887,0.0029599999999999995,-0.0912
797894.0,0.1,-4.0,-0.0114,0.00869,0.00275,-0.0906
797894.0,0.1,-3.4,0.0512,0.00835,0.00237,-0.0893
797894.0,0.1,-3.1,0.082,0.00818,0.0022,-0.0885
797894.0,0.1,-2.7999999999999994,0.11269999999999998,0.00805,0.00204,-0.0877
797894.0,0.1,-2.5,0.1431,0.00788,0.0019,-0.0869
797894.0,0.1,-2.2,0.1736,0.0077,0.00178,-0.0861
797894.0,0.1,-1.8999999999999997,0.2036,0.00749,0.00168,-0.0853
797894.0,0.1,-1.6,0.2338,0.0073,0.00162,-0.0845
797894.0,0.1,-1.3,0.264,0.00714,0.00157,-0.0837
797894.0,0.1,-0.7,0.3226,0.00674,0.00149,-0.0818
797894.0,0.1,-0.4,0.3492,0.00641,0.00149,-0.0804
797894.0,0.1,-0.1,0.3724,0.00601,0.00151,-0.0781
797894.0,0.1,0.19999999999999998,0.3948999999999999,0.005659999999999999,0.00157,-0.07530000000000002
797894.0,0.1,0.5,0.4531,0.00563,0.00172,-0.0803
797894.0,0.1,0.8,0.5108,0.0058,0.0018099999999999998,-0.0854
797894.0,0.1,1.0999999999999999,0.5605000000000001,0.006010000000000001,0.00192,-0.0887
797894.0,0.1,1.4000000000000001,0.6095,0.006179999999999999,0.002,-0.09199999999999998
797894.0,0.1,1.7,0.6599,0.00633,0.00205,-0.0957
797894.0,0.1,2.0,0.7072000000000002,0.00648,0.00209,-0.0987
797894.0,0.1,2.3000000000000003,0.7358000000000001,0.00662,0.00213,-0.0977
797894.0,0.1,2.6,0.7614,0.006769999999999999,0.0022,-0.09599999999999999
797894.0,0.1,2.8999999999999995,0.7866999999999998,0.00696,0.00229,-0.09429999999999998
797894.0,0.1,3.1999999999999997,0.8118999999999998,0.00716,0.0024,-0.09250000000000001
797894.0,0.1,3.5,0.8365999999999999,0.00739,0.0025300000000000006,-0.0906
797894.0,0.1,3.8000000000000003,0.8602,0.00768,0.00268,-0.0886
797894.0,0.1,4.1000000000000005,0.8837,0.00798,0.00286,-0.08650000000000001
797894.0,0.1,4.3999999999999995,0.9076000000000002,0.008279999999999997,0.0030400000000000006,-0.0845
797894.0,0.1,4.7,0.9321,0.00856,0.003232857142857143,-0.0827
797894.0,0.1,5.0,0.9566999999999999,0.00884,0.0034399999999999995,-0.08089999999999999
797894.0,0.1,5.3,0.9815000000000002,0.00911,0.0036400000000000004,-0.0791
797894.0,0.1,5.6000000000000005,1.0061,0.0094,0.0038699999999999993,-0.0773
797894.0,0.1,5.8999999999999995,1.0312,0.00966,0.00409,-0.0756
797894.0,0.1,6.200000000000001,1.0562000000000002,0.00993,0.00432,-0.07389999999999998
797894.0,0.1,6.5,1.0812,0.0102,0.00456,-0.0722
797894.0,0.1,6.799999999999999,1.1064,0.010459999999999999,0.004810000000000001,-0.0705
797894.0,0.1,7.1000000000000005,1.1314,0.010730000000000002,0.005060000000000001,-0.0689
797894.0,0.1,7.3999999999999995,1.1559,0.011010000000000002,0.0053300000000000005,-0.0671
797894.0,0.1,7.7,1.1794,0.011340000000000001,0.00562,-0.0652
797894.0,0.1,8.0,1.202,0.01171,0.00594,-0.06320000000000002
797894.0,0.1,8.299999999999999,1.2206,0.0122,0.00632,-0.0604
797894.0,0.1,8.6,1.231,0.013009999999999999,0.00689,-0.05630000000000001
797894.0,0.1,8.9,1.2383,0.014050000000000002,0.00768,-0.051800000000000006
